"DOT_NUMBER","INSP_TOTAL","DRIVER_INSP_TOTAL","DRIVER_OOS_INSP_TOTAL","VEHICLE_INSP_TOTAL","VEHICLE_OOS_INSP_TOTAL","UNSAFE_DRIV_PCT","UNSAFE_DRIV_RD_ALERT","UNSAFE_DRIV_SV","UNSAFE_DRIV_BASIC_ALERT","FATIGUE_DRIV_PCT","FATIGUE_DRIV_RD_ALERT","FATIGUE_DRIV_SV","FATIGUE_DRIV_BASIC_ALERT","DRIV_FIT_PCT","DRIV_FIT_RD_ALERT","DRIV_FIT_SV","DRIV_FIT_BASIC_ALERT","CONTR_SUBST_PCT","CONTR_SUBST_RD_ALERT","CONTR_SUBST_SV","CONTR_SUBST_BASIC_ALERT","VEH_MAINT_PCT","VEH_MAINT_RD_ALERT","VEH_MAINT_SV","VEH_MAINT_BASIC_ALERT","CARRIER","NY","PA","DC","MA","CT","MD","VA","Website"
782392,17,17,0,12,2,,N,N,N,40.1,N,Y,Y,,N,Y,Y,,N,N,N,87.3,Y,N,Y,World Wide Travel of Greater New York,8th Ave & W 31st St New York NY 10001,,,Alewife Bus Station Red Line Alewife Brook Parkway Cambridge MA 02140,,,,http://www.worldwidetoursny.com/
805541,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Lucky Star,55-59 Chrystie Street New York NY,,,700 Atlantic Ave Boston MA,,,,http://www.luckystarbus.com/
831267,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Coach America,,,Capitol Hill Washington DC,,,Johns Hopkins Hospital North Wolfe Street Baltimore MD,,http://www.dillonbus.com
936876,260,105,5,198,2,31.8,N,N,N,38.2,N,N,N,,N,N,N,,N,N,N,.4,N,N,N,Vamoose Bus,Penn Station 7th Ave & 30th St New York NY,,7490 Waverly St Bethesda MD 20814,,,,,http://www.vamoosebus.com/
1801917,1,1,1,0,0,,N,N,N,,N,N,N,,N,N,N,,N,N,N,,N,N,N,AA Bus,133 E Broadway New York NY 10002,,,,,323 Park Ave Baltimore MD 21201,,http://www.aabus.com/
1192492,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Boston Deluxe Inc.,E 86th Street & 2nd Avenue New York 10028,,,177 Huntington Ave Boston MA 02115,365 Capitol Ave Hartford CT 06106,,,http://www.bostondeluxe.com/
1976380,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,Hola Bus Inc.,430 7th Ave New York NY,1015 Arch St Philadelphia PA,715 H St NW Washington DC,,,,,https://www.holabus.com
44110,2020,1675,31,1185,94,11.8,N,N,N,36.8,N,N,N,49.2,N,N,N,,N,N,N,31.7,N,N,N,BoltBus,34th and 8th New York NY,JFK and North 30th Street Philadelphia PA,Washington Union Station Washington DC 20002,Elevator Access Summer St Boston MA 02110,,Baltimore Penn Station 1500 N Charles St Baltimore MD 21201,,https://www.boltbus.com/
,,,,,,,,,,,,,,,,,,,,,,,,,,Tiger Travel Bus,59 Canal St New York NY 10002,,,,,,329 Kellam Rd Virginia Beach VA 23462,http://www.nytiger.com/
,,,,,,,,,,,,,,,,,,,,,,,,,,Todays Bus,13 Allen Street New York NY 10002,,,,,,809 E Parham Rd Richmond VA 23227,http://www.todaysbus.com/
